1414 7 0 0 01980.06371.2 0                                                    
  GSFC(9/80-2)  EPOCH=1980.   FORMAT(2I3,6F11.4)                                
  2  1-29987.8576     0.0       20.5062     0.0       -0.4076     0.0           
  2  2 -1957.4404  5606.7004     9.0801    -9.0417    -0.2243     0.5789        
  3  1 -1996.7461     0.0      -19.5306     0.0        0.2940     0.0           
  3  2  3027.7282 -2128.7600     4.7791   -18.7396     0.2487    -1.4398        
  3  3  1662.9276  -198.6304     9.8605   -26.8180     0.3468    -0.6073        
  4  1  1280.1640     0.0        4.5121     0.0        0.6519     0.0           
  4  2 -2180.8478  -335.4760    -3.5470    -5.5673     0.6684    -1.1089        
  4  3  1251.2656   270.9316    -2.1934     1.6447     0.1762    -0.0781        
  4  4   832.9198  -251.4948     3.8652    -6.6234     0.5734    -0.2445        
  5  1   937.1418     0.0       -2.2035     0.0       -0.1242     0.0           
  5  2   782.3010   211.7694    -2.2428     3.6615    -0.0427    -0.1202        
  5  3   397.1818  -256.7656   -10.0855     1.0779    -0.4032     0.0334        
  5  4  -419.5579    52.4131    -3.8172     6.7653    -0.1321     0.5539        
  5  5   198.3050  -298.0165    -5.5353    -2.7333    -0.2240    -0.0958        
  6  1  -217.0692     0.0       -1.0388     0.0       -0.0798     0.0           
  6  2   356.9863    45.2421    -0.8583     3.3015    -0.0479     0.0864        
  6  3   261.4626   149.8613    -0.7280     0.5025    -0.0989    -0.0674        
  6  4   -74.2792  -150.6820    -4.8080    -0.8220    -0.1362     0.0533        
  6  5  -161.5392   -77.7158     0.1089     1.0869     0.0155    -0.0177        
  6  6   -47.7097    91.7652     1.4905     0.8684     0.0094     0.0091        
  7  1    49.0846     0.0        0.7525     0.0        0.0387     0.0           
  7  2    64.9620   -14.5565    -0.0396     0.0254    -0.0313     0.0238        
  7  3    41.9600    93.4193     3.4891    -1.1988     0.0781    -0.0370        
  7  4  -191.4364    70.8686     2.2005    -0.9629    -0.0123    -0.0673        
  7  5     3.9031   -42.9196     0.4374     0.1055     0.0179     0.0476        
  7  6    14.1418    -1.9127     1.7754     0.5551     0.0388     0.0027        
  7  7  -107.1222    17.4538     1.3403     2.7180     0.0779     0.0406        
  8  1    71.0268     0.0        0.0780     0.0        0.0        0.0           
  8  2   -58.0573   -83.1594    -0.3612    -1.4368     0.0        0.0           
  8  3     1.3297   -27.0632     0.0527    -0.0301     0.0        0.0           
  8  4    20.0840    -5.5083     0.4458     0.1509     0.0        0.0           
  8  5   -13.0102    15.8652     0.9351     0.5810     0.0        0.0           
  8  6     0.7804    17.8391     0.1692    -0.3665     0.0        0.0           
  8  7    10.7990   -23.6308    -0.1972     0.0334     0.0        0.0           
  8  8    -2.7035    -9.9229     0.0908     0.5427     0.0        0.0           
  9  1    18.9401     0.0        0.6010     0.0        0.0        0.0           
  9  2     7.2005     7.4981     0.0783    -0.0811     0.0        0.0           
  9  3     0.9454   -17.6797     0.2193    -0.3002     0.0        0.0           
  9  4   -10.4073     3.2163     0.0844    -0.0898     0.0        0.0           
  9  5    -7.1300   -22.3684    -0.2401    -0.3427     0.0        0.0           
  9  6     3.9913     9.3551    -0.3507     0.3063     0.0        0.0           
  9  7     3.6725    16.2577     0.5259    -0.5401     0.0        0.0           
  9  8     7.0929   -13.4180    -0.4796    -0.6732     0.0        0.0           
  9  9    -1.3265   -15.2143    -0.2567     0.0485     0.0        0.0           
 10  1     5.1573     0.0       -0.3140     0.0        0.0        0.0           
 10  2    10.7123   -21.8355     0.1663     0.0796     0.0        0.0           
 10  3     0.9777    16.0152    -0.0354     0.0937     0.0        0.0           
 10  4   -12.0179     8.8812     0.0198     0.2421     0.0        0.0           
 10  5     9.2222    -4.9455    -0.1239    -0.1948     0.0        0.0           
 10  6    -3.8852    -7.4854    -0.2723    -0.2666     0.0        0.0           
 10  7    -1.0513     9.4990    -0.0363    -0.0247     0.0        0.0           
 10  8     7.0941    10.8417     0.2663    -0.0503     0.0        0.0           
 10  9     1.5317    -5.3396    -0.0002    -0.2785     0.0        0.0           
 10 10    -4.9960     2.1055    -0.4475     0.1545     0.0        0.0           
 11  1    -3.2881     0.0       -0.1236     0.0        0.0        0.0           
 11  2    -4.0698     0.9626    -0.0946    -0.0722     0.0        0.0           
 11  3     2.6723    -0.0546     0.0441    -0.0806     0.0        0.0           
 11  4    -5.5340     2.6214    -0.0940     0.0484     0.0        0.0           
 11  5    -1.6249     5.5217     0.0102    -0.0607     0.0        0.0           
 11  6     5.1506    -4.3479     0.0133    -0.0085     0.0        0.0           
 11  7     2.6405    -1.3458    -0.1878    -0.1386     0.0        0.0           
 11  8     1.3161    -1.1256     0.1814     0.1162     0.0        0.0           
 11  9     2.3630     4.4284     0.0670     0.1365     0.0        0.0           
 11 10     3.1640    -0.6355     0.0906    -0.0889     0.0        0.0           
 11 11    -0.2510    -6.1502     0.0316    -0.0541     0.0        0.0           
 12  1     2.3321     0.0       -0.0225     0.0        0.0        0.0           
 12  2    -0.6197     1.1001     0.0336    -0.0338     0.0        0.0           
 12  3    -2.3053     2.3527    -0.0333    -0.0400     0.0        0.0           
 12  4     2.1172    -2.0918    -0.1290    -0.0191     0.0        0.0           
 12  5     0.3197    -2.3374     0.0837     0.0539     0.0        0.0           
 12  6    -0.4106     0.4277    -0.0241    -0.0170     0.0        0.0           
 12  7    -0.5383    -0.1449    -0.0094     0.0249     0.0        0.0           
 12  8     1.3626    -3.5340    -0.0120    -0.1876     0.0        0.0           
 12  9     1.4624    -0.1852    -0.1070     0.0471     0.0        0.0           
 12 10    -0.7861    -0.6753     0.0923     0.1461     0.0        0.0           
 12 11     1.8627    -1.6917    -0.1047    -0.0638     0.0        0.0           
 12 12     3.4480    -0.0599     0.0825    -0.3946     0.0        0.0           
 13  1    -1.9794     0.0       -0.0434     0.0        0.0        0.0           
 13  2    -0.2071     0.5221    -0.0263     0.0024     0.0        0.0           
 13  3     0.4523     0.4651     0.1118    -0.0045     0.0        0.0           
 13  4    -0.2574     2.9470    -0.0231     0.0776     0.0        0.0           
 13  5    -0.1508    -1.9281    -0.0584    -0.1278     0.0        0.0           
 13  6     1.1219     0.5086     0.0369     0.0417     0.0        0.0           
 13  7    -0.3152     0.2137     0.0318    -0.0011     0.0        0.0           
 13  8     0.0547     0.1518     0.0370     0.0314     0.0        0.0           
 13  9     0.1732    -0.2579     0.0089    -0.0956     0.0        0.0           
 13 10    -0.5070    -0.5495    -0.0637    -0.0871     0.0        0.0           
 13 11     0.4538    -0.5592     0.0140     0.0944     0.0        0.0           
 13 12     0.7717     0.5519     0.0895    -0.0746     0.0        0.0           
 13 13     0.2543    -0.0642    -0.0267    -0.0056     0.0        0.0           
 14  1     0.4803     0.0        0.0231     0.0        0.0        0.0           
 14  2    -0.2298     0.3401     0.0347     0.0685     0.0        0.0           
 14  3     0.2014     0.2438    -0.0472    -0.0104     0.0        0.0           
 14  4    -0.6395     1.5258    -0.0010     0.0329     0.0        0.0           
 14  5     0.2070     0.8230    -0.0010     0.0927     0.0        0.0           
 14  6     0.9436    -0.9951     0.0104    -0.0808     0.0        0.0           
 14  7     0.2176     0.2421     0.0335     0.0610     0.0        0.0           
 14  8     0.3102     1.1856     0.0317     0.0627     0.0        0.0           
 14  9    -0.5041    -0.1740     0.0019    -0.0052     0.0        0.0           
 14 10     0.1870     0.7076    -0.0100     0.0086     0.0        0.0           
 14 11    -0.3768    -0.0837     0.0025    -0.0157     0.0        0.0           
 14 12     0.2225    -0.4649     0.0191    -0.0398     0.0        0.0           
 14 13    -0.0389     0.3699     0.0874     0.0751     0.0        0.0           
 14 14     0.6181    -0.4067     0.0699    -0.0147     0.0        0.0           
                                                                                
  2  1    -0.0151     0.0                                                       
  2  2    -0.0078     0.0319                                                    
  3  1     0.0064     0.0                                                       
  3  2     0.0044    -0.0479                                                    
  3  3     0.0033    -0.0134                                                    
  4  1     0.0190     0.0                                                       
  4  2     0.0189    -0.0306                                                    
  4  3     0.0089    -0.0028                                                    
  4  4     0.0140    -0.0115                                                    
  5  1    -0.0040     0.0                                                       
  5  2    -0.0002    -0.0061                                                    
  5  3    -0.0084     0.0015                                                    
  5  4    -0.0009     0.0182                                                    
  5  5    -0.0059    -0.0031                                                    
