1411 0 0 0 01980.06371.2 0                                                      
 GSFC12/83 (14,11) MODEL.                                                       
  2  1-29991.6016     0.0000    26.5047     0.0000     0.0000     0.0000        
  2  2 -1956.0100  5603.8984    11.9441   -15.9892     0.0000     0.0000        
  3  1 -1996.6699     0.0000   -17.7715     0.0000     0.0000     0.0000        
  3  2  3027.3101 -2129.3000     3.5560   -14.9880     0.0000     0.0000        
  3  3  1662.6899  -199.7370     3.1459   -24.1879     0.0000     0.0000        
  4  1  1281.4099     0.0000     1.2007     0.0000     0.0000     0.0000        
  4  2 -2180.5200  -335.5410    -3.6188     2.2614     0.0000     0.0000        
  4  3  1250.8601   270.8979    -1.1018     2.5249     0.0000     0.0000        
  4  4   832.8589  -252.2290     1.8474    -4.1066     0.0000     0.0000        
  5  1   937.6270     0.0000    -0.6511     0.0000     0.0000     0.0000        
  5  2   782.2800   212.1880    -2.0523     2.9464     0.0000     0.0000        
  5  3   397.8979  -256.6951    -5.8275     2.0422     0.0000     0.0000        
  5  4  -418.9170    52.8622    -2.4301     1.9796     0.0000     0.0000        
  5  5   198.8960  -297.1731    -2.7610    -2.4318     0.0000     0.0000        
  6  1  -217.8750     0.0000     0.0000     0.0000     0.0000     0.0000        
  6  2   357.2400    45.9779     0.0000     1.4379     0.0000     0.0000        
  6  3   261.0259   149.8220    -1.2862     0.4783     0.0000     0.0000        
  6  4   -74.2543  -150.6240    -4.1370    -0.9792     0.0000     0.0000        
  6  5  -161.9080   -77.7266    -1.3131     0.5830     0.0000     0.0000        
  6  6   -48.0216    92.1005     0.0000     0.1310     0.0000     0.0000        
  7  1    47.9521     0.0000     1.5744     0.0000     0.0000     0.0000        
  7  2    65.5112   -14.7623     0.3746     0.4169     0.0000     0.0000        
  7  3    41.9219    93.0835     0.9571    -0.7149     0.0000     0.0000        
  7  4  -192.1090    70.5787     1.2512     0.0000     0.0000     0.0000        
  7  5     3.5873   -43.0699     0.6488    -0.4089     0.0000     0.0000        
  7  6    13.8212    -2.2228     0.8309     0.3552     0.0000     0.0000        
  7  7  -107.7240    17.2125     1.5749     1.5578     0.0000     0.0000        
  8  1    71.9145     0.0000     1.3718     0.0000     0.0000     0.0000        
  8  2   -59.2225   -82.4974    -0.7318    -0.8626     0.0000     0.0000        
  8  3     1.6950   -27.4258     0.3371     0.7545     0.0000     0.0000        
  8  4    20.7407    -4.9118     0.0000     0.3567     0.0000     0.0000        
  8  5   -12.4245    16.2844     0.7764     0.1974     0.0000     0.0000        
  8  6     0.6345    17.7860     0.0000     0.3800     0.0000     0.0000        
  8  7    10.5919   -23.0138     0.0000     0.4037     0.0000     0.0000        
  8  8    -1.6744    -9.6949     1.7731     0.0000     0.0000     0.0000        
  9  1    18.4829     0.0000     0.7492     0.0000     0.0000     0.0000        
  9  2     6.5464     6.8482     0.0000    -0.6295     0.0000     0.0000        
  9  3    -0.4431   -17.7074     0.3060     0.0000     0.0000     0.0000        
  9  4   -10.9846     4.2139     0.0000     0.0000     0.0000     0.0000        
  9  5    -6.9316   -22.1996    -0.8890     0.0000     0.0000     0.0000        
  9  6     4.2292     9.1278     0.2806     0.6764     0.0000     0.0000        
  9  7     2.7169    16.0818     0.0000    -0.8512     0.0000     0.0000        
  9  8     6.0254   -13.2103     0.0000     0.0000     0.0000     0.0000        
