1414 0 0 0 01982.06371.2 0                                                      
 GSFC 11/87 MODEL AT EPOCH 1982.  DEGREE (13,13).                               
  2  1-29938.8008     0.0000    26.0618     0.0000     0.0000     0.0000        
  2  2 -1931.2000  5569.2695    12.4594   -17.3891     0.0000     0.0000        
  3  1 -2030.3999     0.0000   -16.8407     0.0000     0.0000     0.0000        
  3  2  3034.2200 -2157.9700     3.4514   -14.3400     0.0000     0.0000        
  3  3  1669.8401  -244.1180     3.5878   -22.1169     0.0000     0.0000        
  4  1  1283.8201     0.0000     1.1878     0.0000     0.0000     0.0000        
  4  2 -2189.2400  -328.8811    -4.3890     3.3483     0.0000     0.0000        
  4  3  1248.1899   275.4551    -1.3485     2.2821     0.0000     0.0000        
  4  4   836.5791  -265.9060     1.8557    -6.9479     0.0000     0.0000        
  5  1   936.3479     0.0000    -0.6632     0.0000     0.0000     0.0000        
  5  2   779.7771   218.9250    -1.2115     3.3788     0.0000     0.0000        
  5  3   385.8911  -254.6100    -6.0012     1.0078     0.0000     0.0000        
  5  4  -422.5559    58.6930    -1.7934     2.9690     0.0000     0.0000        
  5  5   190.7110  -300.1670    -4.1452    -1.4536     0.0000     0.0000        
  6  1  -216.3240     0.0000     0.7866     0.0000     0.0000     0.0000        
  6  2   356.0979    48.4287    -0.5838     1.2315     0.0000     0.0000        
  6  3   256.8669   150.3540    -2.1036     0.2607     0.0000     0.0000        
  6  4   -82.6612  -152.2930    -4.2006    -0.8095     0.0000     0.0000        
  6  5  -162.6860   -77.5497    -0.3447     0.0608     0.0000     0.0000        
  6  6   -45.9066    93.0243     1.0959     0.4867     0.0000     0.0000        
  7  1    50.9545     0.0000     1.4983     0.0000     0.0000     0.0000        
  7  2    65.2055   -14.7214    -0.1802     0.0138     0.0000     0.0000        
  7  3    44.5411    92.0152     1.3231    -0.5141     0.0000     0.0000        
  7  4  -188.8790    69.9540     1.6226    -0.3295     0.0000     0.0000        
  7  5     3.0604   -43.4845    -0.3109    -0.1945     0.0000     0.0000        
  7  6    13.8073    -1.0286    -0.0447     0.5960     0.0000     0.0000        
